Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-01879,General Records,Public,"A copy of any records related to asbestos, asbestos inspections, and/or asbestos materials built in the home at {a specified address}.","October 1, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,33
AG-2012-01880,General Records,Public,"A copy of all building documents related to {a specified address}, including all records, permits, building inspections, or records related to any renovations from 2000 to present.","October 1, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,125
AG-2012-01881,General Records,Media,"A copy of the agreement between Ryerson University and the City of Toronto concerning Sam the Record Man's signs, dated January 16, 2008.","October 1, 2012","October 12, 2012",All Disclosed,29
AG-2012-01882,General Records,Public,"A copy of any Animal Service or Public Health records related to the Pitbull at {a specified address}, Etobicoke. Including records related to a dog bite incident on May 19, 2012 between 6-7 p.m.","October 1, 2012","October 29, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-01883,General Records,Business,"A copy of any documents related to the water main at Osler Street and Dupont Street between January 1 and June 14, 2012. Including any inspections, notes, work orders, contracts for work on the water main, incident reports, or damage investigations.","October 1, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-01889,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 10, 2012.","October 1, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-01890,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 14, 2012.","October 1, 2012","October 29, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-01891,General Records,Business,"A copy of the fire report for {a specified address}, Etobicoke. The incidne toccurred on August 25, 2012.","October 1, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-01892,General Records,Public,"A copy of the fire report for the motor vehicle accident that occurred at Donlands Avenue and Plains Road. The incident occurred on April 4, 2009. Fire Report No. F09036343.","October 2, 2012","October 31, 2012",Disclosed in Part: No Records Exist,2
AG-2012-01893,General Records,Public,A copy of all documents associated with the 2005 water damage claim of {a specified address}.,"October 2, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,127
AG-2012-01894,General Records,Public,"A copy of all building permits post 1926 for {a specified address} and any information regarding the history of the house construction, owners, etc.","October 1, 2012","October 29, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-01895,General Records,Public,A copy of the contract and tender for the contract between the City of Toronto and Tectonic Infrastructure for the storm water project in Hogg's Hollow.,"October 1, 2012","November 29, 2012",All Disclosed,625
