Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-01040,General Records,Business,"A copy of the fire report for {an address}, Scarborough.  The incident occurred on June 25, 2012.","July 20, 2012","August 13, 2012",Disclosed in Part: Partially Exempt,25
AG-2012-01217,General Records,Public,A copy of all information regarding the fence dispute in the public alley behind {4 addresses}. There may also be fencing documents associated with {an address}.,"July 3, 2012","July 18, 2012",Disclosed in Part: Partially Exempt,35
AG-2012-01218,General Records,Public,"A document showing the total number of Toronto Zoo passes issued to staff between January 2009 to June 20, 2012, including the names and reasons for issuance (by who and when).","July 3, 2012","August 2, 2012",Disclosed in Part: Partially Exempt,111
AG-2012-01221,General Records,Public,"A copy of any inquiries made by {an individual} on November 21, 2011  or any time after with respect to {an address}.","July 4, 2012","August 3, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-01222,General Records,Public,"A copy of the ML&S file no. B21621 regarding the complaint against {an organization}, as well as all other complaint records or files against {an organization.","July 4, 2012","August 7, 2012",Disclosed in Part: Partially Exempt,34
AG-2012-01231,General Records,Business,A copy of the fire report for {an address}. The incident occurred in December 2011.,"July 3, 2012","July 23, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01232,General Records,Business,"A copy of the fire report for the motor vehicle accident in the westbound lanes of Highway 401 just west of Leslie Street. The incident occurred on February 14, 2007.","July 3, 2012","July 25, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-01233,General Records,Public,"A copy of the fire report for the motor vehicle accident that occurred northbound on Highway 400 near Finch Avenue West. The incident occurred on February 13, 2011. Fire Report No. F09017520.","July 3, 2012","July 25, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01234,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on June 18, 2012.","July 3, 2012","July 24, 2012",Disclosed in Part: No Records Exist,13
AG-2012-01235,General Records,Business,"A copy of the fire report for {2 addresses}, North York. The incident occurred on June 16, 2012.","July 4, 2012","July 23, 2012",Disclosed in Part: Partially Exempt,18
AG-2012-01236,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 19, 2009. Also any additional documents including any notes relating to discussions with the owners.","July 4, 2012","July 24, 2012",Disclosed in Part: Partially Exempt,4
