Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-00573,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on August 4, 2009. Fire Report No.: F09086166.","April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,13
AP-2012-00586,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 2, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,325
AG-2012-00574,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 24, 2010.","April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00575,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 15, 2012.","April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00576,General Records,Public,A copy of all development and building permits related to {an address}.,"April 2, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,25
AG-2012-00596,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on March 29, 2012. Fire Report No. F12034110.","April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00611,General Records,Public,"A copy of the sprinkler calculations, the ASHRAE forms and building permit applications for {an address}.","April 2, 2012","May 1, 2012",All Disclosed,308
AG-2012-00617,General Records,Public,"A copy of the traffic light outage records for Birchmount Road and Danforth Avenue. The traffic light outage occurred on February 15, 2012 at 10:28 a.m.","April 2, 2012","May 1, 2012",No Records Exist,0
AG-2012-00618,General Records,Public,A copy of the development charges paid under the building permit application for {an address} and the ground floor area square footage the development charged were based on. Building permit no. 9800277.,"April 2, 2012","May 1, 2012",All Disclosed,1
AG-2012-00582,General Records,Public,"A copy of building file for {an address}, more specifically file no. 08 116899 SGN 00SP and all associated records to the sign permit file.","April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,19
AP-2012-00584,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 2, 2012","April 25, 2012",Disclosed in Part: Partially Exempt,90
AP-2012-00572,Personal Information,Public,A copy of the updated Ontario Works file for {an individual} from January 2011 to present.,"April 2, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,51
AG-2012-00581,General Records,Business,"A copy of the maintenance records leading up to the sewer backup around {an address} on April 30, 2011. Including at least 6 to 12 months of maintenance records leading up to the incident.","April 3, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,8
AP-2012-00583,Personal Information,Public,A copy of the updated employment file for {an individual} from September 2009 to present.,"April 3, 2012","May 2, 2012",All Disclosed,47
AP-2012-00585,Personal Information,Public,"A copy of the Castleview Wychwood file for {an individual}, including clinical notes and records and any diagnostic and consultation reports.","April 3, 2012","April 30, 2012",Disclosed in Part: Partially Exempt,301
AP-2012-00589,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 3, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,84
AG-2012-00579,General Records,Business,A copy of all environmental records from Toronto Public Health - Healthy Environments regarding {an address}.,"April 3, 2012","April 18, 2012",Nothing Disclosed (exemption),0
AG-2012-00577,General Records,Public,"A copy of all documentation regarding {an address}, including all correspondence, Committee of Adjustment documents, and all rezoning information.","April 3, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,187
AP-2012-00587,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 3, 2012","May 8, 2012",Disclosed in Part: No Records Exist,255
AP-2012-00588,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 3, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,306
AG-2012-00580,General Records,Other,A copy of the arborist report for the proposed development at Goldhawk Trail and Alton Towers.,"April 3, 2012","April 30, 2012",All Disclosed,18
AG-2012-00597,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 18, 2012.","April 3, 2012","May 1, 2012",Disclosed in Part: No Records Exist,18
AG-2012-00598,General Records,Public,A copy of the fire report for {an address}. The incident occurred in July or August of 2009.,"April 3, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00595,General Records,Media,A copy of any properties that are owned or have been owned by either {an individual and/or Filor Ltd.}.,"April 3, 2012","April 24, 2012",All Disclosed,0
AG-2012-00593,General Records,Business,A copy of the building permit file no. 99 103021 for {an address}. File No. 99 103021.,"April 3, 2012","April 18, 2012",All Disclosed,119
AG-2012-00594,General Records,Public,"A copy of all information regarding the recent building project, including the occupancy permit, certificate of occupancy, inspector notes, approved plans and all submissions regarding file no. 10-188721.","April 3, 2012","April 20, 2012",All Disclosed,125
AG-2012-00707,General Records,Business,A copy of all building records and site plan agreements dating back to 1960's for {three addresses}.,"April 3, 2012","May 7, 2012",No Records Exist,0
AG-2012-00629,General Records,Public,A copy of the assessed value of construction at {an address}. This information may be with the building permit files.,"April 4, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00606,General Records,Public,"A copy of the inspection records and orders issued to {an address}, including records from fire, public health, building and ML&S.","April 4, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,48
